PART,MTYP,NB. OF ELEMENTS,INPUT     ELEM. MASS,ADDED INIT MASS SCALE,ADDED DYN. MASS SCALE,ADDED NON-STRU. MASS,ADDED   MASSTRIM,ADDED NODAL MASS,FINAL     ELEM. MASS,FINAL NODAL MASS,Percentage Increased
50000,105,11281,1.411,5.382e-05,0.02702,0.0,0.0,0.0,1.438,1.486,1.913536498936918
50001,100,120,0.005514,0.0,0.0,0.0,0.0,0.0,0.005514,0.005514,0.0
51000,105,5893,1.947,0.002118,0.0005889,0.0,0.0,0.0,1.95,2.015,0.154083204930657
51001,105,90,0.02993,0.0,2.953e-06,0.0,0.0,0.0,0.02993,0.03196,0.0
51400,105,2000,0.7111,0.0,0.0001343,0.0,0.0,0.0,0.7112,0.7462,0.0140627197300098
51600,105,316,0.2321,0.0,0.0,0.0,0.0,0.0,0.2321,0.2321,0.0
52001,105,8743,2.948,3.567e-06,5.847e-05,0.0,0.0,0.0,2.948,2.98,0.0
52100,105,852,0.3868,0.0,0.0,0.0,0.0,0.0,0.3868,0.3868,0.0
53010,105,3071,0.5761,4.513e-05,0.0,0.0,0.0,0.0,0.5761,0.5761,0.0
54000,105,2844,0.6564,1.012e-05,0.0,0.0,0.0,0.0,0.6564,0.658,0.0
55050,105,2380,0.7487,8.852e-05,0.0,0.0,0.0,0.0,0.7488,0.7488,0.0133564845732588
56050,105,1617,0.2908,3.543e-05,0.0,0.0,0.0,0.0,0.2908,0.2909,0.0
56110,105,44,0.009568,0.0,0.0,0.0,0.0,0.0,0.009568,0.009568,0.0
56200,105,1069,0.2939,5.13e-06,0.0,0.0,0.0,0.0,0.2939,0.2939,0.0
56350,105,621,0.1529,0.0,9.128e-06,0.0,0.0,0.0,0.1529,0.1547,0.0
56450,105,233,0.06732,0.0,0.0,0.0,0.0,0.0,0.06732,0.06732,0.0
57000,105,1559,0.2941,9.027e-06,0.0,0.0,0.0,0.0,0.2941,0.2941,0.0
57200,105,1052,0.308,0.0,0.0,0.0,0.0,0.0,0.308,0.308,0.0
57900,105,725,0.1914,0.0,0.000208,0.0,0.0,0.0,0.1916,0.2057,0.1044932079414868
58000,105,1526,0.2006,3.056e-05,0.0001003,0.0,0.0,0.0,0.2007,0.2007,0.0498504486540323
60000,105,13408,4.545,0.0,0.002694,0.0,0.0,0.0,4.548,4.642,0.0660066006600685
