PART,NB. OF ELEMENTS,Percentage Increased
8009993,40484,793.3371461252502
59720080,7324,280.1948051948052
59720100,3781,26.083815028901736
59720120,25949,12.013165112452008
59720130,25736,9.845847836897065
59720140,24,41.7
59720160,7324,280.1948051948052
59720180,3781,26.04768786127167
59720200,25949,12.013165112452008
59720210,25736,9.845847836897065
59720220,24,41.7
59720230,7324,280.1948051948052
59720260,24,41.7
59720280,3781,26.083815028901736
59720290,25949,12.013165112452008
59720300,25736,9.845847836897065
59399961,625,19.66677556354134
59399963,42,10.694736842105264
59399964,407,23.202959830866803
59399966,1,inf
59399967,26,428.380187416332
59399968,26,428.380187416332
59399969,65,428.4817484305975
59399970,28,428.3864004317323
59399972,1,inf
59399973,2,inf
59399975,3,477.1084337349397
59399976,5,800.6176305446378
59399977,6,335.8266911914981
59399978,3,335.92887798896385
59399979,384,861.5555885408936
59399980,384,861.5555885408936
59399981,570,568.1636726546907
59399982,570,567.6646706586827
59400012,384,861.7040225619712
59400019,26,428.380187416332
59400021,280,125.87168758716876
59400022,280,125.84844258484424
59400023,280,125.87168758716876
59400024,280,125.80195258019526
59400025,526,153.1005971520441
59400028,796,209.4866071428571
59400030,792,210.0809581900854
59400036,526,153.1005971520441
59400052,796,209.59821428571425
59400083,413,24.55874936964195
59400084,439,16.689219666215596
59400085,516,17.946824224519954
59400086,1594,22.35883968007639
59400200,384,861.1102864776607
59400202,26,428.380187416332
59400203,3,477.1084337349397
59400227,384,861.1102864776607
59400228,3,477.1084337349397
59400230,26,428.380187416332
59400235,384,861.1102864776607
59400236,3,477.1084337349397
59400238,26,428.380187416332
59400243,384,861.1102864776607
59400244,3,477.1084337349397
59400246,26,428.380187416332
59400251,384,861.1102864776607
59400252,3,477.1084337349397
59400254,26,428.380187416332
59400259,384,861.1102864776607
59400260,3,477.1084337349397
59400262,26,428.380187416332
59400267,384,861.1102864776607
59400268,3,477.1084337349397
59400270,26,428.380187416332
59400275,384,861.1102864776607
59400276,3,477.1084337349397
59400278,26,428.380187416332
59400299,384,861.1102864776607
59400300,3,477.1084337349397
59400302,26,428.380187416332
59400304,420,641.6413373860182
59400306,64,428.4533648170012
59400307,3,354.44732297063905
59400313,420,642.0972644376899
59400314,3,354.44732297063905
59400316,64,428.4533648170012
59400320,420,641.6413373860182
59400321,3,354.44732297063905
59400323,64,428.4533648170012
59400327,420,641.6413373860182
59400328,3,354.44732297063905
59400330,64,428.4533648170012
59400332,570,567.6646706586827
59400334,36,428.5474391267842
59400335,3,335.92887798896385
59400341,570,567.6646706586827
59400342,3,335.72450439403224
59400343,1,inf
59400344,36,428.5474391267842
59400346,570,577.8054862842894
59400347,1,inf
59400348,33,428.3882783882785
59400349,3,335.72450439403224
59400355,570,577.8054862842894
59400356,3,335.72450439403224
59400357,1,inf
59400358,33,428.3882783882785
59400608,692,208.67643638055364
59400618,692,208.79274249825545
59400728,806,211.07438016528928
59400738,526,153.1005971520441
59400778,526,152.98576022048692
59401180,3,477.1084337349397
59401190,3,477.1084337349397
59401340,384,861.2587204987383
59401350,384,861.407154519816
59401360,26,428.380187416332
59401370,26,428.380187416332
59401371,26,428.380187416332
59401373,3,477.1084337349397
59401374,384,861.5555885408936
59401378,26,428.380187416332
59401380,3,477.1084337349397
59401381,384,861.1102864776607
59401384,54,428.4075006996921
59401386,6,335.8266911914981
59401387,570,567.6646706586827
59401391,27,428.3715724678232
59401393,3,335.72450439403224
59401394,570,567.6646706586827
59401487,264,19.68876860622464
59401488,264,19.68876860622464
59401489,1879,222.29665071770336
59401505,40,49.3993993993994
59401509,16,8.258569128134344
59401512,40,49.3993993993994
59401822,1,181.31571042355063
59401832,1,181.31571042355063
59401842,1,181.31571042355063
59401852,1,181.31571042355063
59401882,16,8.212560386473422
59401896,264,19.62110960757783
59401897,264,19.68876860622464
59401908,570,567.6646706586827
59401909,570,567.6646706586827
59401921,327,25.20380434782608
59401923,88,21.90301548492258
99,6,204.9838486386709
77110013,588,32.07803992740472
77210013,588,33.33333333333334
77410013,588,27.65017667844522
